index,Drug_Name,Reason,Description,Side_Effects
5686,Telplus Trio Tablet 10'STelplus Trio 6.25Mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Fatigue, Stomach pain, Diarrhea"
5687,Telpres 20mg Tablet 10'STelpres 40mg Tablet 15'STelpres 80mg Tablet 10'STELPRES 20mg Tablet 15'sTelpres 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Rash, Drowsiness, Dry mouth"
5688,Telpres AM 80mg Tablet 10'STelpres AM 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Diarrhea, Stomach pain, Nausea"
5689,Telpres Amh Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Rash, Nausea, Stomach pain"
5690,Telpres Ct 40/6.25Mg Tablet 15'sTelpres CT 40/6.25mg Tablet 10'STelpres CT 80/12.5mg Tablet 10'STelpres Ct 40/12.5Mg Tablet 15'sTelpres CT 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Fatigue, Vomiting"
5691,Telpres H 40mg Tablet 10'STelpres H 40mg Tablet 15'STelpres H 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Diarrhea, Vomiting, Stomach pain"
5692,TELPRES LN 40mg Tablet 10'sTELPRES LN 80mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Nausea, Stomach pain, Rash"
5693,Telpres MT 50mg Tablet 15'STelpres MT 50mg Tablet 10'STelpres Mt 25Mg Tablet 15'sTelpres MT 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Drowsiness, Headache, Fatigue"
5694,TELPRES TRIO 40mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dizziness, Fatigue, Diarrhea"
5695,Telride 40mg Tablet 10'STelride 80mg Tablet 10'STelride 20mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension),"Nausea, Stomach pain, Dizziness"
5696,Telride AM 40/5mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Headache, Nausea, Dizziness"
5697,Telride H 40/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Dizziness, Fatigue, Nausea"
5698,Telrose Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Rash, Vomiting, Drowsiness"
5699,Telsaan AM 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Rash, Diarrhea, Drowsiness"
5700,Telsar 80mg Tablet 10'STelsar 40mg Tablet 15'STelsar 40mg Tablet 10'STelsar 20mg Tablet 15'STelsar A 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Diarrhea, Nausea, Headache"
5701,Telsar A 80mg Tablet 10'STelsar A 40mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Dry mouth, Diarrhea, Rash"
5702,Telsar AM 5/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Vomiting, Headache, Stomach pain"
5703,Telsar Beta 25mg Tablet 10'STelsar Beta 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Headache, Vomiting, Dizziness"
5704,Telsar CH 40/6.25mg Tablet 10'STelsar CH 40mg Tablet 10'STelsar CH 80/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Diarrhea, Vomiting, Drowsiness"
5705,Telsar H 40mg Tablet 15'STelsar H 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Rash, Headache, Fatigue"
5706,Telsar LN 5/40mg Tablet 10'STelsar LN 10/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Drowsiness, Dry mouth, Fatigue"
5707,Telsartan 20mg Tablet 14'STelsartan 80mg Tablet 14'STelsartan 40mg Tablet 28'STelsartan H 40mg Tablet 15'STelsartan 40mg Tablet 15'STelsartan 40mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Headache, Drowsiness, Dry mouth"
5708,Telsartan Activ 80mg Tablet 30'STelsartan Activ 20mg Tablet 30'STelsartan Activ 40mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension),"Vomiting, Diarrhea, Fatigue"
5709,Telsartan AM 40/5mg Tablet 30'STelsartan AM 80/5mg Tablet 30'STelsartan AM 80mg Tablet 10'STelsartan AM 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Drowsiness, Fatigue"
5710,TELSARTAN ATR Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Dry mouth, Headache, Drowsiness"
5711,Telsartan CT 40mg Tablet 10'STelsartan CT 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Diarrhea, Dry mouth, Drowsiness"
5712,Telsartan H 40mg Tablet 14'STelsartan H 80mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension),"Vomiting, Nausea, Fatigue"
5713,Telsartan R 5mg Tablet 10'STelsartan R 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dry mouth, Vomiting, Stomach pain"
5714,Telsartan Trio Tablet 30'S,Hypertension,used to treatÂ blood pressure (hypertension),"Rash, Drowsiness, Headache"
5715,TELSIG 20mg Tablet 10'sTELSIG 80mg Tablet 10'sTELSIG 40mg Tablet 10's,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Fatigue, Drowsiness, Headache"
5716,Telsite 20mg Tablet 15'STelsite 80mg Tablet 15'STelsite 40mg Tablet 15'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Rash, Stomach pain, Headache"
5717,Telsite AM Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Vomiting, Rash, Stomach pain"
5718,Telsite Amh Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Dry mouth, Nausea, Fatigue"
5719,Telsite H 80mg Tablet 10'STelsite H 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Vomiting, Rash, Nausea"
5720,Telsmall 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Stomach pain, Vomiting, Rash"
5721,Telstat 80mg Tablet 10'STelstat 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Headache, Drowsiness, Dry mouth"
5722,Telstat AM 5mg/40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Rash, Headache, Stomach pain"
5723,Telstat H 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Diarrhea, Drowsiness"
5724,Telster 40Mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Dizziness, Vomiting, Stomach pain"
5725,Telster Am 40Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Dizziness, Headache, Nausea"
5726,Telster Ct 40Mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Dry mouth, Nausea, Fatigue"
5727,TELSURE AM TABLET 10'STELSURE 20MG TABLET 10'STELSURE H TABLET 10'STELSURE 40MG TABLET 10'S,Hypertension,lower high blood pressure (hypertension),"Rash, Headache, Vomiting"
5728,Teltab 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Stomach pain, Dizziness"
5729,Teltel H 40/12.5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Headache, Stomach pain, Diarrhea"
5730,Teltin H 80/12.5mg Tablet 10'STeltin H 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Fatigue, Stomach pain, Dry mouth"
5731,Teltop 40mg Tablet 10'STeltop 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Fatigue, Dizziness, Stomach pain"
5732,Teltor 20mg Tablet 10'STeltor 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Drowsiness, Fatigue, Diarrhea"
5733,Teltor AM 40/5mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension),"Stomach pain, Nausea, Rash"
5734,Teltor AV 40/10mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Vomiting, Rash, Stomach pain"
5735,Teltor H 40/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Stomach pain, Fatigue, Diarrhea"
5736,Telvas 40mg Tablet 10'STelvas 80mg Tablet 10'STelvas 20mg Tablet 10'STelvas 30mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Rash, Stomach pain, Vomiting"
5737,Telvas 3D 80mg Tablet 10'STelvas 3D 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Nausea, Dizziness, Stomach pain"
5738,Telvas AM 40mg Tablet 10'STelvas AM 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Diarrhea, Drowsiness"
5739,Telvas Beta 25mg Tablet 10'STelvas Beta 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Stomach pain, Dizziness, Rash"
5740,Telvas CT 40mg Tablet 10'STelvas CT 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Dizziness, Vomiting, Nausea"
5741,Telvas CT LS Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Headache, Diarrhea, Fatigue"
5742,Telvas H 40mg Tablet 10'STelvas H 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dry mouth, Dizziness, Nausea"
5743,Telvas LN 80mg Tablet 10'STelvas LN 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Vomiting, Headache, Diarrhea"
5744,Telvilite 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Nausea, Vomiting, Stomach pain"
5745,Telvilite AM 5/80mg Tablet 10'STelvilite AM 5mg/80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Fatigue, Dry mouth, Dizziness"
5746,Telvilite H 80/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Dizziness, Diarrhea, Rash"
5747,TELZA 40mg Tablet 10'sTELZA 80mg Tablet 10'sTELZA 20mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Diarrhea, Rash, Vomiting"
5748,TELZA AM 80mg Tablet 10'sTELZA AM 40mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Rash, Headache, Dizziness"
5749,TELZA H Tablet 10'sTELZA H 80mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Stomach pain, Drowsiness, Fatigue"
5750,Telzen 20mg Tablet 10'STelzen 80mg Tablet 10'STelzen AM Tablet 10'STelzen 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Dizziness, Dry mouth, Fatigue"
5751,Telzen Amh 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Stomach pain, Dizziness, Diarrhea"
5752,Telzen H Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension),"Nausea, Rash, Dry mouth"
5753,Telzox 40mg Tablet 10'STelzox 20mg Tablet 10'STelzox 80mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Fatigue, Nausea, Dizziness"
5754,Telzox AM Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Drowsiness, Stomach pain, Headache"
5755,Telzox CH Tablet 10'STelzox CH 80/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Rash, Dry mouth, Drowsiness"
5756,Telzox H Tablet 10'STelzox H 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Dry mouth, Stomach pain, Vomiting"
5757,Telzox M 25mg Tablet 10'STelzox M 50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Drowsiness, Rash, Fatigue"
5758,Telzox Trio 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Diarrhea, Headache, Rash"
5759,Temax 40mg Tablet 14'STemax 80mg Tablet 14'STemax 20mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Diarrhea, Nausea, Dry mouth"
5760,Temax AM 80mg Tablet 14'STemax AM 5mg/40mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension),"Drowsiness, Dry mouth, Dizziness"
5761,Temax H Tablet 14'STemax H 80mg Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dry mouth, Rash, Dizziness"
5762,Temmy 20mg Tablet 10'STemmy 80mg Tablet 10'STemmy 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Fatigue, Vomiting, Dry mouth"
5763,Temmy Amh Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Nausea, Dizziness, Dry mouth"
5764,Temmy Ch Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Rash, Diarrhea, Drowsiness"
5765,Temmy H 80/12.5mg Tablet 10'STemmy H 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Headache, Dry mouth, Drowsiness"
5766,Temmy Ln Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dizziness, Rash, Drowsiness"
5767,Temmy M 25Mg Tablet 10'sTemmy M 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Vomiting, Dry mouth, Diarrhea"
5768,Temmy Plus 5/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Vomiting, Drowsiness, Dry mouth"
5769,Temsan 20mg Tablet 15'STemsan 80mg Tablet 10'STemsan 40mg Tablet 10'STemsan H 40mg Tablet 10'STemsan 40mg Tablet 15'STemsan 80mg Tablet 15'STemsan CT 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Diarrhea, Dizziness, Dry mouth"
5770,Temsan AM 2.5mg Tablet 15'STemsan AM 5mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Fatigue, Nausea, Headache"
5771,Temsan CT 6.25mg Tablet 10'STemsan CT Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension),"Drowsiness, Stomach pain, Diarrhea"
5772,Temsan CV 20/10mg Tablet 10'STemsan CV 40/10mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Diarrhea, Headache, Nausea"
5773,Temsan H 80mg Tablet 15'STemsan H 40/12.5mg Tablet 15'STemsan H 80/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Diarrhea, Drowsiness, Headache"
5774,Temsi 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Headache, Vomiting, Rash"
5775,Temsi AM 5mg/20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Diarrhea, Fatigue, Dizziness"
5776,Temsi H 80/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Fatigue, Dizziness, Headache"
5777,Tenarbi 80mg Tablet 10'STenarbi 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Stomach pain, Nausea, Drowsiness"
5778,TENGIRID Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Vomiting, Nausea, Drowsiness"
5779,Tenil 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Diarrhea, Nausea, Stomach pain"
5780,Teno 50mg Tablet 14'STeno 25mg Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Drowsiness, Fatigue, Vomiting"
5781,Tenocab 50mg Tablet 15'STenocab 25/5mg Tablet 10'STenocab 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Fatigue, Drowsiness, Nausea"
5782,Tenochek 50mg Tablet 10'STenochek 25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Dry mouth, Drowsiness, Dizziness"
5783,Tenoclor 50mg Tablet 14'STenoclor 25mg Tablet 15'STenoclor 100/25mg Tablet 14'STenoclor 50/12.5mg Tablet 14'STenoclor 100mg Tablet 15'STenoclor 50mg Tablet 15'STenoclor 100mg Tablet 14'STenoclor 25/12.5mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Headache, Nausea, Rash"
5784,Tenodipin 5/25mg Tablet 10'STenodipin 5/50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Fatigue, Dizziness, Dry mouth"
5785,Tenofed Capsule 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Vomiting, Drowsiness, Fatigue"
5786,Tenolol 50mg Tablet 14'STenolol 100mg Tablet 14'STenolol 75mg Tablet 14'STenolol 25mg Tablet 14'STenolol 5mg Injection 10mlTenolol 12.5mg Tablet 14'STenolol D SR 50mg Tablet 10'STenolol 75mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Stomach pain, Dry mouth, Vomiting"
5787,Tenolol AM 25mg Tablet 10'STenolol AM 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Headache, Fatigue, Nausea"
5788,Tenolol D 50/2.5mg Tablet 10'STenolol D 25/1.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Fatigue, Headache, Vomiting"
5789,Tenolol D SR 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Nausea, Vomiting, Fatigue"
5790,Tenomac 25mg Tablet 14'STenomac 12.5mg Tablet 14'STenomac 100mg Tablet 14'STenomac 50mg Tablet 14'S,Hypertension,used to treatÂ blood pressure (hypertension),"Dry mouth, Dizziness, Vomiting"
5791,Tenoric 12.5mg Tablet 10'STenoric 75mg Tablet 10'STenoric 25mg Tablet 10'STenoric 100mg Tablet 10'STenoric 50mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Diarrhea, Headache, Dry mouth"
5792,Tenoric LD 25/6.25mg Tablet 10'STenoric LD 50/6.25mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Dizziness, Headache, Fatigue"
5793,Tenormin 25mg Tablet 14'STenormin 100mg Tablet 14'STenormin 50mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Headache, Vomiting, Fatigue"
5794,Tenpose 20mg Tablet 10'STenpose 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Fatigue, Dry mouth, Drowsiness"
5795,Tenpose SR 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Vomiting, Headache, Dizziness"
5796,TENSICARD 25mg Tablet 14'sTENSICARD 100mg Tablet 10'sTENSICARD 50MG TABLET 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Vomiting, Headache, Fatigue"
5797,TENSICARD AM Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Drowsiness, Headache, Nausea"
5798,Tensimin 100mg Tablet 14'STensimin 50mg Tablet 14'STensimin 25mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension),"Dry mouth, Vomiting, Nausea"
5799,Terapress 2mg Tablet 7'STerapress 1mg Tablet 7'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Dry mouth, Drowsiness, Fatigue"
5800,Terifin 50mg Tablet 14'STerifin 25mg Tablet 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Rash, Vomiting, Fatigue"
5801,Teripil 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Dry mouth, Nausea, Fatigue"
5802,Tesat 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Fatigue, Nausea, Headache"
5803,Tetan 20mg Tablet 10'STetan 80mg Tablet 15'STetan 20mg Tablet 15'STetan 80mg Tablet 10'STetan 40mg Tablet 10'STetan 10mg Tablet 10'STetan 40mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension),"Rash, Drowsiness, Stomach pain"
5804,Tetan AM 40mg Tablet 15'STetan AM 80mg Tablet 10'STetan AM 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Vomiting, Drowsiness, Nausea"
5805,Tetan Beta 25mg Tablet 15'STetan Beta 50mg Tablet 10'STetan Beta 25mg Tablet 10'STetan Beta 50mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Rash, Dry mouth, Dizziness"
5806,Tetan CT 6.25mg Tablet 15'STetan CT 6.25mg Tablet 10'STetan CT 12.5mg Tablet 15'STetan CT 12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Dry mouth, Vomiting, Dizziness"
5807,Tetan H 80mg Tablet 15'STETAN H 80MG TABLET 10'STetan H 40mg Tablet 15'STetan H 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Dizziness, Headache, Vomiting"
5808,Tetan Trio Tablet 10'STETAN TRIO Tablet 15's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Drowsiness, Diarrhea, Nausea"
5809,Thalitel 80mg Tablet 10'SThalitel LS Tablet 10'SThalitel 40mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension),"Headache, Fatigue, Vomiting"
5810,Theocard 50mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina,"Fatigue, Vomiting, Dry mouth"
5811,Theolar 20mg Tablet 10'STheolar 10mg Tablet 10'STheolar 40mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH),"Vomiting, Headache, Dry mouth"
5812,Theolar SR 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Nausea, Rash, Vomiting"
5813,Thiovas T 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Drowsiness, Nausea, Rash"
5814,Threpro 10/75/5mg Capsule 10'SThrepro 10/75/2.5mg Capsule 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Drowsiness, Stomach pain, Dizziness"
5815,Thriomesar 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Nausea, Fatigue, Headache"
5816,Tidilan Retard 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Diarrhea, Vomiting, Stomach pain"
5817,Tigatel 20mg Tablet 10'STigatel 80mg Tablet 10'STigatel 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Diarrhea, Dizziness, Vomiting"
5818,Tigatel AM 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Rash, Stomach pain, Fatigue"
5819,Tigatel CH 40/12.5mg Tablet 10'STIGATEL CH 80mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Fatigue, Diarrhea, Stomach pain"
5820,Tigatel H 40mg Tablet 10'STigatel H 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Rash, Drowsiness, Dry mouth"
5821,TIPLAB 100mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,"Dizziness, Headache, Fatigue"
5822,Tlet 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Drowsiness, Vomiting, Stomach pain"
5823,TLM 40mg Tablet 10'STLM 20mg Tablet 10'STLM 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Diarrhea, Vomiting, Rash"
5824,TLM H 40/12.5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,"Rash, Dizziness, Drowsiness"
5825,Tolol AM 25mg Tablet 10'STolol AM 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,"Drowsiness, Rash, Stomach pain"
5826,Tolol H 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),"Nausea, Diarrhea, Rash"
5827,Tolol XR 100mg Tablet 10'STolol XR 12.5mg Tablet 10'STolol XR 50mg Tablet 15'STolol XR 25mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),"Fatigue, Dry mouth, Headache"
